FileName,L1,L2,L3,L4,L5,L6,D1,D2,D3,D4,D5,D6,DA1,DA2,DA3,DA4,DA5,DA6,zfs,E/D
576,CC12CNCCN=C(O)C(CN)(CNCCNC1)CNCCNC2,X,X,X,X,X,6,0,0,0,0,0,N,N,N,N,N,N,-1.808956,0.249906
577,CC(CNCc1c[nH]cn1)(CNCc1c[nH]cn1)CNCc1c[nH]cn1,X,X,X,X,X,6,0,0,0,0,0,N,N,N,N,N,N,-119.936723,0.091124
578,c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12,OC(O)c1cccc(-c2cc(C(O)O)c(C(O)O)cc2-c2cccc(C(O)O)c2)c1,X,X,X,2,2,2,0,0,0,N,N,N,N,O,O,87.516198,0.101164
579,Cl,CC(c1ccccn1)(c1ccccn1)c1cccc(Cc2cccc(-c3ccccn3)n2)n1,X,X,X,X,1,5,0,0,0,0,Cl,N,N,N,N,N,-47.52663,0.324144
580,OS(O)(O)c1ccccc1NCc1ccccn1,OS(O)(O)c1ccccc1NCc1ccccn1,X,X,X,X,3,3,0,0,0,0,O,N,N,O,N,N,-45.702623,0.122589
581,CC(C)(N)C(N(O))C,CC(C)(N)C(N(O))C,ONO,ONO,X,X,2,2,1,1,0,0,N,N,N,N,N,N,99.619843,0.03467
582,CC(C)(N)C(N(O))C,CC(C)(N)C(N(O))C,ONO,ONO,X,X,2,2,1,1,0,0,N,N,N,N,N,N,99.619843,0.03467
583,OC(NNc1ccccc1)NNc1ccccc1,CO,OC(NNc1ccccc1)NNc1ccccc1,CO,X,X,2,1,2,1,0,0,N,O,O,N,O,O,-50.777056,0.330841
584,OCCN(CCO)C(CO)(CO)CO,OS(O)(O)O,X,X,X,X,5,1,0,0,0,0,N,O,O,O,O,O,-115.791264,0.184122
585,c1ccc(C(c2ccccc2)(n2cccn2)n2cccn2)cc1,ON(O)O,ON(O)O,X,X,X,2,2,2,0,0,0,N,N,O,O,O,O,-17.815326,0.308908
587,CC(O)NNCc1ccc[nH]1,CC(O)NNCc1ccc[nH]1,O,O,X,X,2,2,1,1,0,0,O,O,N,O,O,N,77.406012,0.17916
589,c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12,OC(O)O,X,X,X,2,2,2,0,0,0,N,N,N,N,O,O,28.97087002,0.078132402
